name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Saša Lukić,MID,Fulham,1.3,0,0,9,1,13.6,249,0.02,0.02,0.0,0.65,59,0,0,1.8,4.8,2024-09-28T14:00:00Z,82,False,16,0,0,0,0.0,6,0,5691,1,1,0,0.0,2,-397.0,195.0,592.0,50.0,False,1.0,6.0
Kevin De Bruyne,MID,Man City,0.0,0,0,0,0,0.0,345,0.0,0.0,0.0,0.0,58,0,0,0.0,0.0,2024-09-28T11:30:00Z,0,False,15,0,0,0,0.0,6,0,638842,0,1,1,0.0,0,-294866.0,3020.0,297886.0,95.0,False,0.0,6.0
Norberto Murara Neto,GK,Arsenal,1.5,0,0,0,0,0.0,73,0.0,0.0,0.0,0.0,51,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,11,0,0,0,0.0,6,0,156637,0,2,4,0.0,0,254.0,23117.0,22863.0,43.0,True,0.0,6.0
Tyrell Malacia,DEF,Man Utd,0.0,0,0,0,0,0.0,379,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2024-09-29T15:30:00Z,0,False,18,0,0,0,0.0,6,0,912,0,3,0,0.0,0,-16.0,33.0,49.0,44.0,True,0.0,6.0
Lucas Tolentino Coelho de Lima,MID,West Ham,1.7,0,0,11,0,31.3,527,0.07,0.1,0.03,0.33,53,1,0,4.4,9.4,2024-09-28T14:00:00Z,75,False,4,0,0,0,0.0,6,0,180705,1,1,1,3.0,2,-21942.0,9518.0,31460.0,60.0,False,0.0,6.0
Lewis Dunk,DEF,Brighton,1.7,0,0,-3,0,2.1,120,0.01,0.01,0.0,4.16,54,4,0,2.6,21.8,2024-09-28T14:00:00Z,90,False,6,0,0,0,0.0,6,0,759160,1,2,4,2.0,-1,-98806.0,26674.0,125480.0,46.0,False,1.0,6.0
Mason Holgate,DEF,Everton,0.0,0,0,0,0,0.0,225,0.0,0.0,0.0,0.0,55,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,7,0,0,0,0.0,6,0,32807,0,1,2,0.0,0,-3982.0,0.0,3982.0,40.0,True,0.0,6.0
Kurt Zouma,DEF,West Ham,0.0,0,0,0,0,0.0,532,0.0,0.0,0.0,0.0,53,0,0,0.0,0.0,2024-09-28T14:00:00Z,0,False,4,0,0,0,0.0,6,0,24839,0,1,1,0.0,0,-3818.0,0.0,3818.0,44.0,False,0.0,6.0
Sékou Mara,FWD,Southampton,0.0,0,0,0,0,0.0,468,0.0,0.0,0.0,0.0,52,0,0,0.0,0.0,2024-09-30T19:00:00Z,0,False,3,0,0,0,0.0,6,0,4162,0,1,3,0.0,0,-386.0,0.0,386.0,50.0,False,0.0,6.0
Antony Matheus dos Santos,MID,Man Utd,0.0,0,0,0,0,0.0,365,0.0,0.0,0.0,0.0,57,0,0,0.0,0.0,2024-09-29T15:30:00Z,0,False,18,0,0,0,0.0,6,0,22981,0,3,0,0.0,0,-1077.0,1344.0,2421.0,58.0,True,0.0,6.0
Dara O'Shea,DEF,Ipswich,2.5,0,0,3,0,0.8,630,0.0,0.04,0.04,0.82,56,2,0,1.9,14.0,2024-09-29T13:00:00Z,90,False,2,0,0,0,0.0,6,0,65607,1,2,2,4.0,1,15657.0,23918.0,8261.0,40.0,True,0.0,6.0
Kalvin Phillips,MID,Ipswich,0.6,0,0,18,0,2.8,359,0.02,0.04,0.02,0.67,56,2,0,2.3,13.6,2024-09-29T13:00:00Z,68,False,2,0,0,0,0.0,6,0,7253,1,2,2,7.0,2,-1390.0,74.0,1464.0,50.0,True,0.0,6.0
